accession	organism	gene_name	length	matches	kmer_size	score_percent	reference_start	target_start	description
XM_032452083.2	Drosophila ananassae	LOC116655057	4258	29	50	58.0	900	1895	PREDICTED: Drosophila ananassae nuclear receptor coactivator 6-like (LOC116655057), transcript variant X1, mRNA
XM_032451969.2	Drosophila ananassae	LOC6505291	7611	29	50	58.0	200	725	PREDICTED: Drosophila ananassae uncharacterized LOC6505291 (LOC6505291), mRNA
XM_014904855.3	Drosophila ananassae	LOC6505274	4242	29	50	58.0	50	875	PREDICTED: Drosophila ananassae plastin-1 (LOC6505274), transcript variant X2, mRNA
XM_044717533.1	Drosophila ananassae	LOC6505244	3305	29	50	58.0	825	1655	PREDICTED: Drosophila ananassae cytoplasmic dynein 1 light intermediate chain 1 (LOC6505244), transcript variant X6, mRNA
XM_032452217.2	Drosophila ananassae	LOC6504428	3428	29	50	58.0	200	1960	PREDICTED: Drosophila ananassae UNC93-like protein (LOC6504428), transcript variant X3, mRNA
XM_033385629.1	Drosophila pseudoobscura	X11L	5636	29	50	58.0	375	150	PREDICTED: Drosophila pseudoobscura X11L (X11L), transcript variant X12, mRNA
XM_033385628.1	Drosophila pseudoobscura	X11L	5654	29	50	58.0	75	5515	PREDICTED: Drosophila pseudoobscura X11L (X11L), transcript variant X11, mRNA
XM_033385624.1	Drosophila pseudoobscura	X11L	5666	29	50	58.0	375	150	PREDICTED: Drosophila pseudoobscura X11L (X11L), transcript variant X7, mRNA
XM_033385618.1	Drosophila pseudoobscura	X11L	5678	29	50	58.0	375	150	PREDICTED: Drosophila pseudoobscura X11L (X11L), transcript variant X1, mRNA
XM_033385600.1	Drosophila pseudoobscura	LOC117183205	3168	29	50	58.0	1175	380	PREDICTED: Drosophila pseudoobscura bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66-like (LOC117183205), mRNA
XM_001355290.4	Drosophila pseudoobscura	LOC4815859	3862	29	50	58.0	1200	780	PREDICTED: Drosophila pseudoobscura neurofilament heavy polypeptide (LOC4815859), mRNA
XM_001353046.4	Drosophila pseudoobscura	dally	5122	29	50	58.0	400	4880	PREDICTED: Drosophila pseudoobscura division abnormally delayed protein (dally), mRNA
XM_015188647.2	Drosophila pseudoobscura	TrpA1	4757	29	50	58.0	75	205	PREDICTED: Drosophila pseudoobscura Transient receptor potential cation channel A1 (TrpA1), transcript variant X6, mRNA
XM_033385566.1	Drosophila pseudoobscura	Wnk	7792	29	50	58.0	1225	4660	PREDICTED: Drosophila pseudoobscura Wnk kinase (Wnk), transcript variant X3, mRNA
XM_015186305.2	Drosophila pseudoobscura	AP-1gamma	4225	29	50	58.0	25	695	PREDICTED: Drosophila pseudoobscura adaptor protein complex 1, gamma subunit (AP-1gamma), transcript variant X5, mRNA
XM_015186308.2	Drosophila pseudoobscura	AP-1gamma	4222	29	50	58.0	900	1565	PREDICTED: Drosophila pseudoobscura adaptor protein complex 1, gamma subunit (AP-1gamma), transcript variant X4, mRNA
XM_015185415.2	Drosophila pseudoobscura	LOC6901848	5281	29	50	58.0	900	1555	PREDICTED: Drosophila pseudoobscura AF4/FMR2 family member 4 (LOC6901848), transcript variant X2, mRNA
XM_015185403.2	Drosophila pseudoobscura	pigs	5472	29	50	58.0	300	3275	PREDICTED: Drosophila pseudoobscura pickled eggs (pigs), transcript variant X1, mRNA
XM_033385539.1	Drosophila pseudoobscura	LOC4815435	7672	29	50	58.0	50	295	PREDICTED: Drosophila pseudoobscura uncharacterized protein (LOC4815435), transcript variant X3, mRNA
XM_015188445.2	Drosophila pseudoobscura	trio	3158	29	50	58.0	225	3060	PREDICTED: Drosophila pseudoobscura trio Rho guanine nucleotide exchange factor (trio), transcript variant X3, mRNA
XM_015188446.2	Drosophila pseudoobscura	trio	5222	29	50	58.0	900	2340	PREDICTED: Drosophila pseudoobscura trio Rho guanine nucleotide exchange factor (trio), transcript variant X2, mRNA
XM_001354845.4	Drosophila pseudoobscura	hop	4836	29	50	58.0	900	2475	PREDICTED: Drosophila pseudoobscura tyrosine-protein kinase hopscotch (hop), mRNA
XM_002134128.3	Drosophila pseudoobscura	spri	5354	29	50	58.0	900	1165	PREDICTED: Drosophila pseudoobscura Src homology 2 domain-containing protein sprint (spri), transcript variant X5, mRNA
XM_033385522.1	Drosophila pseudoobscura	sdk	6724	29	50	58.0	1200	385	PREDICTED: Drosophila pseudoobscura sidekick cell adhesion molecule (sdk), transcript variant X18, mRNA
XM_033385514.1	Drosophila pseudoobscura	raskol	6827	29	50	58.0	400	660	PREDICTED: Drosophila pseudoobscura Ras GTPase-activating protein raskol (raskol), transcript variant X6, mRNA
XM_033385513.1	Drosophila pseudoobscura	raskol	6854	29	50	58.0	400	660	PREDICTED: Drosophila pseudoobscura Ras GTPase-activating protein raskol (raskol), transcript variant X5, mRNA
XM_033385512.1	Drosophila pseudoobscura	raskol	6899	29	50	58.0	400	660	PREDICTED: Drosophila pseudoobscura Ras GTPase-activating protein raskol (raskol), transcript variant X4, mRNA
XM_033385510.1	Drosophila pseudoobscura	raskol	5589	29	50	58.0	900	185	PREDICTED: Drosophila pseudoobscura Ras GTPase-activating protein raskol (raskol), transcript variant X2, mRNA
XM_001354571.4	Drosophila pseudoobscura	baz	6790	29	50	58.0	1150	3605	PREDICTED: Drosophila pseudoobscura par-3 family cell polarity regulator (baz), transcript variant X4, mRNA
XM_015186024.2	Drosophila pseudoobscura	baz	6877	29	50	58.0	1150	3605	PREDICTED: Drosophila pseudoobscura par-3 family cell polarity regulator (baz), transcript variant X2, mRNA
XM_033385463.1	Drosophila pseudoobscura	jim	6242	29	50	58.0	200	1125	PREDICTED: Drosophila pseudoobscura zinc finger protein jim (jim), transcript variant X4, mRNA
XM_033385461.1	Drosophila pseudoobscura	jim	6323	29	50	58.0	200	1125	PREDICTED: Drosophila pseudoobscura zinc finger protein jim (jim), transcript variant X2, mRNA
XM_033385460.1	Drosophila pseudoobscura	jim	6338	29	50	58.0	200	1125	PREDICTED: Drosophila pseudoobscura zinc finger protein jim (jim), transcript variant X1, mRNA
XM_033385456.1	Drosophila pseudoobscura	nAChRalpha7	5643	29	50	58.0	225	2525	PREDICTED: Drosophila pseudoobscura nicotinic Acetylcholine Receptor alpha7 (nAChRalpha7), transcript variant X5, mRNA
XM_033385455.1	Drosophila pseudoobscura	nAChRalpha7	5334	29	50	58.0	400	4085	PREDICTED: Drosophila pseudoobscura nicotinic Acetylcholine Receptor alpha7 (nAChRalpha7), transcript variant X4, mRNA
XM_033385454.1	Drosophila pseudoobscura	nAChRalpha7	6827	29	50	58.0	450	6595	PREDICTED: Drosophila pseudoobscura nicotinic Acetylcholine Receptor alpha7 (nAChRalpha7), transcript variant X3, mRNA
XM_033385453.1	Drosophila pseudoobscura	nAChRalpha7	6542	29	50	58.0	450	6310	PREDICTED: Drosophila pseudoobscura nicotinic Acetylcholine Receptor alpha7 (nAChRalpha7), transcript variant X2, mRNA
XM_033385452.1	Drosophila pseudoobscura	nAChRalpha7	6887	29	50	58.0	450	6655	PREDICTED: Drosophila pseudoobscura nicotinic Acetylcholine Receptor alpha7 (nAChRalpha7), transcript variant X1, mRNA
XM_033385451.1	Drosophila pseudoobscura	Rdl	6422	29	50	58.0	200	1900	PREDICTED: Drosophila pseudoobscura Resistant to dieldrin (Rdl), transcript variant X17, mRNA
XM_033385448.1	Drosophila pseudoobscura	Rdl	6418	29	50	58.0	200	1705	PREDICTED: Drosophila pseudoobscura Resistant to dieldrin (Rdl), transcript variant X14, mRNA
XM_033385447.1	Drosophila pseudoobscura	Rdl	6414	29	50	58.0	200	1895	PREDICTED: Drosophila pseudoobscura Resistant to dieldrin (Rdl), transcript variant X13, mRNA
XM_033385446.1	Drosophila pseudoobscura	Rdl	6417	29	50	58.0	200	1895	PREDICTED: Drosophila pseudoobscura Resistant to dieldrin (Rdl), transcript variant X12, mRNA
XM_033385443.1	Drosophila pseudoobscura	Rdl	3804	29	50	58.0	200	1700	PREDICTED: Drosophila pseudoobscura Resistant to dieldrin (Rdl), transcript variant X9, mRNA
XM_033385442.1	Drosophila pseudoobscura	Rdl	6494	29	50	58.0	200	1700	PREDICTED: Drosophila pseudoobscura Resistant to dieldrin (Rdl), transcript variant X8, mRNA
XM_033385440.1	Drosophila pseudoobscura	Rdl	6505	29	50	58.0	200	1705	PREDICTED: Drosophila pseudoobscura Resistant to dieldrin (Rdl), transcript variant X6, mRNA
XM_033385439.1	Drosophila pseudoobscura	Rdl	6503	29	50	58.0	200	5265	PREDICTED: Drosophila pseudoobscura Resistant to dieldrin (Rdl), transcript variant X5, mRNA
XM_033385437.1	Drosophila pseudoobscura	Rdl	6470	29	50	58.0	200	1670	PREDICTED: Drosophila pseudoobscura Resistant to dieldrin (Rdl), transcript variant X3, mRNA
XM_033385436.1	Drosophila pseudoobscura	Rdl	6496	29	50	58.0	200	1890	PREDICTED: Drosophila pseudoobscura Resistant to dieldrin (Rdl), transcript variant X2, mRNA
XM_033385435.1	Drosophila pseudoobscura	Rdl	6500	29	50	58.0	200	1700	PREDICTED: Drosophila pseudoobscura Resistant to dieldrin (Rdl), transcript variant X1, mRNA
XM_033385428.1	Drosophila pseudoobscura	nwk	4251	29	50	58.0	900	1630	PREDICTED: Drosophila pseudoobscura nervous wreck (nwk), transcript variant X5, mRNA
XM_023178684.2	Drosophila willistoni	LOC6647797	3339	29	50	58.0	1200	2770	PREDICTED: Drosophila willistoni uncharacterized LOC6647797 (LOC6647797), mRNA
XM_047009334.1	Drosophila willistoni	LOC6650420	3746	29	50	58.0	425	3250	PREDICTED: Drosophila willistoni choline O-acetyltransferase (LOC6650420), mRNA
XM_023179822.2	Drosophila willistoni	LOC6649437	4262	29	50	58.0	1200	105	PREDICTED: Drosophila willistoni C2 domain-containing protein 5 (LOC6649437), transcript variant X2, mRNA
XM_002072385.4	Drosophila willistoni	LOC6649437	5551	29	50	58.0	1200	110	PREDICTED: Drosophila willistoni C2 domain-containing protein 5 (LOC6649437), transcript variant X1, mRNA
XM_023179676.2	Drosophila willistoni	LOC6649490	4594	29	50	58.0	200	4465	PREDICTED: Drosophila willistoni probable multidrug resistance-associated protein lethal(2)03659 (LOC6649490), mRNA
XM_023179816.2	Drosophila willistoni	LOC6649788	4229	29	50	58.0	75	4105	PREDICTED: Drosophila willistoni uncharacterized LOC6649788 (LOC6649788), transcript variant X1, mRNA
XM_023179846.2	Drosophila willistoni	LOC6649663	4693	29	50	58.0	1175	1955	PREDICTED: Drosophila willistoni mucin-2 (LOC6649663), mRNA
XM_015177081.3	Drosophila willistoni	LOC6649686	3183	29	50	58.0	475	2855	PREDICTED: Drosophila willistoni acetylcholinesterase (LOC6649686), transcript variant X3, mRNA
XM_002072234.4	Drosophila willistoni	LOC6649829	3033	29	50	58.0	1050	2105	PREDICTED: Drosophila willistoni G protein-coupled receptor kinase 2 (LOC6649829), mRNA
XM_023179791.2	Drosophila willistoni	LOC6649639	3891	29	50	58.0	200	3540	PREDICTED: Drosophila willistoni signal transducer and transcription activator (LOC6649639), transcript variant X3, mRNA
XM_023179790.2	Drosophila willistoni	LOC6649639	4352	29	50	58.0	200	3505	PREDICTED: Drosophila willistoni signal transducer and transcription activator (LOC6649639), transcript variant X2, mRNA
XM_023179741.2	Drosophila willistoni	LOC6649528	3080	29	50	58.0	200	250	PREDICTED: Drosophila willistoni octopamine receptor Oamb (LOC6649528), transcript variant X2, mRNA
XM_047009251.1	Drosophila willistoni	LOC6649528	3259	29	50	58.0	200	250	PREDICTED: Drosophila willistoni octopamine receptor Oamb (LOC6649528), transcript variant X1, mRNA
XM_023179666.2	Drosophila willistoni	LOC6649598	3236	29	50	58.0	200	2215	PREDICTED: Drosophila willistoni uncharacterized LOC6649598 (LOC6649598), transcript variant X3, mRNA
XM_002072048.4	Drosophila willistoni	LOC6649622	7670	29	50	58.0	1200	1535	PREDICTED: Drosophila willistoni serine/arginine repetitive matrix protein 2 (LOC6649622), transcript variant X2, mRNA
XM_023179712.2	Drosophila willistoni	LOC6649700	3880	29	50	58.0	200	3700	PREDICTED: Drosophila willistoni zinc finger protein 800 (LOC6649700), mRNA
XM_023179751.2	Drosophila willistoni	LOC6649697	6870	29	50	58.0	900	6600	PREDICTED: Drosophila willistoni AF4/FMR2 family member lilli (LOC6649697), mRNA
XM_023179618.2	Drosophila willistoni	LOC6649805	3778	29	50	58.0	975	1545	PREDICTED: Drosophila willistoni protein kinase C (LOC6649805), transcript variant X1, mRNA
XM_015169550.3	Drosophila virilis	kek5	6978	29	50	58.0	400	6635	PREDICTED: Drosophila virilis kekkon 5 (kek5), transcript variant X3, mRNA
XM_002058206.4	Drosophila virilis	UbcE2H	3569	29	50	58.0	225	2175	PREDICTED: Drosophila virilis ubiquitin conjugating enzyme E2H (UbcE2H), transcript variant X2, mRNA
XM_015169522.3	Drosophila virilis	UbcE2H	3719	29	50	58.0	225	2325	PREDICTED: Drosophila virilis ubiquitin conjugating enzyme E2H (UbcE2H), transcript variant X1, mRNA
XM_002055165.4	Drosophila virilis	stnA	3072	29	50	58.0	300	285	PREDICTED: Drosophila virilis stoned A (stnA), transcript variant X3, mRNA
XM_032439666.2	Drosophila virilis	stnA	3045	29	50	58.0	75	110	PREDICTED: Drosophila virilis stoned A (stnA), transcript variant X2, mRNA
XM_032439587.2	Drosophila virilis	sdt	4993	29	50	58.0	225	4260	PREDICTED: Drosophila virilis stardust (sdt), transcript variant X15, mRNA
XM_032439586.2	Drosophila virilis	sdt	4436	29	50	58.0	200	4035	PREDICTED: Drosophila virilis stardust (sdt), transcript variant X14, mRNA
XM_032439585.2	Drosophila virilis	sdt	6136	29	50	58.0	200	5735	PREDICTED: Drosophila virilis stardust (sdt), transcript variant X13, mRNA
XM_032439580.2	Drosophila virilis	sdt	4478	29	50	58.0	225	3745	PREDICTED: Drosophila virilis stardust (sdt), transcript variant X8, mRNA
XM_032439575.2	Drosophila virilis	sdt	5993	29	50	58.0	225	5260	PREDICTED: Drosophila virilis stardust (sdt), transcript variant X2, mRNA
XM_032440765.2	Drosophila virilis	raskol	5832	29	50	58.0	1200	3385	PREDICTED: Drosophila virilis Ras GTPase-activating protein raskol (raskol), transcript variant X3, mRNA
XM_070206611.1	Drosophila virilis	LOC6633624	4517	29	50	58.0	225	3005	PREDICTED: Drosophila virilis uncharacterized protein CG3556 (LOC6633624), transcript variant X2, mRNA
XM_070206610.1	Drosophila virilis	LOC6633624	5132	29	50	58.0	225	3620	PREDICTED: Drosophila virilis uncharacterized protein CG3556 (LOC6633624), transcript variant X1, mRNA
XM_002057158.4	Drosophila virilis	rb	4949	29	50	58.0	1200	1205	PREDICTED: Drosophila virilis adaptor related protein complex 3 subunit ruby (rb), mRNA
XM_015170861.3	Drosophila virilis	r	6915	29	50	58.0	1000	4535	PREDICTED: Drosophila virilis carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase rudimentary (r), transcript variant X2, mRNA
XM_070206608.1	Drosophila virilis	Hers	5464	29	50	58.0	1025	210	PREDICTED: Drosophila virilis Histone gene-specific Epigenetic Repressor in late S phase (Hers), transcript variant X5, mRNA
XM_002055622.4	Drosophila virilis	Hers	5808	29	50	58.0	900	95	PREDICTED: Drosophila virilis Histone gene-specific Epigenetic Repressor in late S phase (Hers), transcript variant X4, mRNA
XM_032433226.2	Drosophila virilis	sable	5338	29	50	58.0	950	725	PREDICTED: Drosophila virilis suppressor of sable (su(sable)), transcript variant X3, mRNA
XM_015168718.3	Drosophila virilis	LOC26531317	3297	29	50	58.0	1075	395	PREDICTED: Drosophila virilis inositol polyphosphate 5-phosphatase K (LOC26531317), mRNA
XM_070211388.1	Drosophila virilis	spri	5752	29	50	58.0	1200	265	PREDICTED: Drosophila virilis Src homology 2 domain-containing protein sprint (spri), transcript variant X6, mRNA
XM_070211387.1	Drosophila virilis	spri	6547	29	50	58.0	1200	1060	PREDICTED: Drosophila virilis Src homology 2 domain-containing protein sprint (spri), transcript variant X4, mRNA
XM_032440379.2	Drosophila virilis	spri	7477	29	50	58.0	75	715	PREDICTED: Drosophila virilis Src homology 2 domain-containing protein sprint (spri), transcript variant X2, mRNA
XM_015171183.3	Drosophila virilis	Mnt	6035	29	50	58.0	350	665	PREDICTED: Drosophila virilis Mnt (Mnt), transcript variant X2, mRNA
XM_070211382.1	Drosophila virilis	fd3F	3186	29	50	58.0	1200	350	PREDICTED: Drosophila virilis forkhead domain 3F (fd3F), mRNA
XM_002058154.4	Drosophila virilis	Polr2A	6389	29	50	58.0	1200	2340	PREDICTED: Drosophila virilis RNA polymerase II subunit RpII215 (Polr2A), mRNA
XM_032439748.2	Drosophila virilis	fog	4272	29	50	58.0	1200	2165	PREDICTED: Drosophila virilis folded gastrulation (fog), transcript variant X2, mRNA
XM_070211381.1	Drosophila virilis	fog	5075	29	50	58.0	1200	320	PREDICTED: Drosophila virilis folded gastrulation (fog), transcript variant X1, mRNA
XM_032439570.2	Drosophila virilis	LOC6631787	4500	29	50	58.0	1200	1570	PREDICTED: Drosophila virilis solute carrier family 41 member 2 (LOC6631787), transcript variant X1, mRNA
XM_032741119.2	Drosophila grimshawi	LOC6569028	3957	29	50	58.0	200	75	PREDICTED: Drosophila grimshawi guanylate kinase-associated protein mars (LOC6569028), transcript variant X1, mRNA
XM_001991147.3	Drosophila grimshawi	LOC6565428	6452	29	50	58.0	350	2985	PREDICTED: Drosophila grimshawi uncharacterized protein DDB_G0283357 (LOC6565428), mRNA
XM_032738513.2	Drosophila grimshawi	LOC6564853	4475	29	50	58.0	900	3995	PREDICTED: Drosophila grimshawi Ca(2+)/calmodulin-responsive adenylate cyclase (LOC6564853), transcript variant X4, mRNA
XM_032738511.2	Drosophila grimshawi	LOC6564853	4841	29	50	58.0	900	3995	PREDICTED: Drosophila grimshawi Ca(2+)/calmodulin-responsive adenylate cyclase (LOC6564853), transcript variant X3, mRNA
XM_032739050.2	Drosophila grimshawi	LOC6565648	5277	29	50	58.0	300	1255	PREDICTED: Drosophila grimshawi alpha-protein kinase 1 (LOC6565648), mRNA
XM_032738493.2	Drosophila grimshawi	LOC6564676	3159	29	50	58.0	1025	2660	PREDICTED: Drosophila grimshawi protein suppressor of white apricot (LOC6564676), transcript variant X2, mRNA
XM_001991662.3	Drosophila grimshawi	LOC6565450	3426	29	50	58.0	75	2855	PREDICTED: Drosophila grimshawi programmed cell death protein 4 (LOC6565450), mRNA
XM_032741452.2	Drosophila grimshawi	LOC6569227	3949	29	50	58.0	375	65	PREDICTED: Drosophila grimshawi uncharacterized LOC6569227 (LOC6569227), transcript variant X2, mRNA
XM_001995673.3	Drosophila grimshawi	LOC6569227	3951	29	50	58.0	1050	3285	PREDICTED: Drosophila grimshawi uncharacterized LOC6569227 (LOC6569227), transcript variant X1, mRNA
XM_043216287.1	Drosophila grimshawi	LOC6565113	7309	29	50	58.0	900	925	PREDICTED: Drosophila grimshawi uncharacterized LOC6565113 (LOC6565113), mRNA
XM_043216281.1	Drosophila grimshawi	LOC6565661	3804	29	50	58.0	250	2205	PREDICTED: Drosophila grimshawi cAMP-specific 3',5'-cyclic phosphodiesterase (LOC6565661), transcript variant X1, mRNA
XM_032738345.2	Drosophila grimshawi	LOC6565045	3325	29	50	58.0	1050	2405	PREDICTED: Drosophila grimshawi glutamine-dependent NAD(+) synthetase (LOC6565045), transcript variant X2, mRNA
XM_032738344.2	Drosophila grimshawi	LOC6565046	6332	29	50	58.0	1225	2240	PREDICTED: Drosophila grimshawi cytosolic carboxypeptidase Nna1 (LOC6565046), transcript variant X7, mRNA
XM_001991312.3	Drosophila grimshawi	LOC6564949	3071	29	50	58.0	50	2575	PREDICTED: Drosophila grimshawi protein elav (LOC6564949), mRNA
XM_032737836.2	Drosophila grimshawi	LOC6565215	4111	29	50	58.0	900	2260	PREDICTED: Drosophila grimshawi rho-associated protein kinase 2 (LOC6565215), transcript variant X8, mRNA
XM_032737835.2	Drosophila grimshawi	LOC6565215	5014	29	50	58.0	1050	3705	PREDICTED: Drosophila grimshawi rho-associated protein kinase 2 (LOC6565215), transcript variant X7, mRNA
XM_032737834.2	Drosophila grimshawi	LOC6565215	5042	29	50	58.0	1050	3705	PREDICTED: Drosophila grimshawi rho-associated protein kinase 2 (LOC6565215), transcript variant X6, mRNA
XM_032737832.2	Drosophila grimshawi	LOC6565215	4771	29	50	58.0	1050	3705	PREDICTED: Drosophila grimshawi rho-associated protein kinase 2 (LOC6565215), transcript variant X4, mRNA
XM_032737831.2	Drosophila grimshawi	LOC6565215	4264	29	50	58.0	1050	3225	PREDICTED: Drosophila grimshawi rho-associated protein kinase 2 (LOC6565215), transcript variant X3, mRNA
XM_001991330.3	Drosophila grimshawi	LOC6565215	4563	29	50	58.0	900	2260	PREDICTED: Drosophila grimshawi rho-associated protein kinase 2 (LOC6565215), transcript variant X2, mRNA
XM_032737829.2	Drosophila grimshawi	LOC6565215	4292	29	50	58.0	900	2260	PREDICTED: Drosophila grimshawi rho-associated protein kinase 2 (LOC6565215), transcript variant X1, mRNA
XM_043216258.1	Drosophila grimshawi	LOC6564712	4644	29	50	58.0	1225	2050	PREDICTED: Drosophila grimshawi uncharacterized protein DDB_G0283357 (LOC6564712), transcript variant X4, mRNA
XM_043216256.1	Drosophila grimshawi	LOC6564712	4819	29	50	58.0	1225	2225	PREDICTED: Drosophila grimshawi uncharacterized protein DDB_G0283357 (LOC6564712), transcript variant X3, mRNA
XM_032738453.2	Drosophila grimshawi	LOC6564512	3637	29	50	58.0	225	3380	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X18, mRNA
XM_043216250.1	Drosophila grimshawi	LOC6564512	3629	29	50	58.0	225	3370	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X15, mRNA
XM_043216249.1	Drosophila grimshawi	LOC6564512	3661	29	50	58.0	225	3400	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X14, mRNA
XM_032738445.2	Drosophila grimshawi	LOC6564512	3706	29	50	58.0	225	3445	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X12, mRNA
XM_043216247.1	Drosophila grimshawi	LOC6564512	3753	29	50	58.0	225	3495	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X11, mRNA
XM_043216246.1	Drosophila grimshawi	LOC6564512	3781	29	50	58.0	225	3520	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X10, mRNA
XM_043216239.1	Drosophila grimshawi	LOC6564512	4607	29	50	58.0	225	4345	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X2, mRNA
XM_043216238.1	Drosophila grimshawi	LOC6564512	4682	29	50	58.0	225	4420	PREDICTED: Drosophila grimshawi disks large 1 tumor suppressor protein (LOC6564512), transcript variant X1, mRNA
XM_043216212.1	Drosophila grimshawi	LOC6569374	7014	29	50	58.0	125	3335	PREDICTED: Drosophila grimshawi pneumococcal serine-rich repeat protein (LOC6569374), transcript variant X2, mRNA
XM_043216194.1	Drosophila grimshawi	LOC6565826	5018	29	50	58.0	1075	785	PREDICTED: Drosophila grimshawi neuroglian (LOC6565826), transcript variant X3, mRNA
XM_032738932.2	Drosophila grimshawi	LOC6565743	4083	29	50	58.0	200	3765	PREDICTED: Drosophila grimshawi hornerin (LOC6565743), mRNA
XM_033394423.1	Drosophila miranda	LOC108164502	3563	29	50	58.0	225	3480	PREDICTED: Drosophila miranda paired box protein Pax-2a (LOC108164502), transcript variant X1, mRNA
XM_033394402.1	Drosophila miranda	LOC108164468	4702	29	50	58.0	425	3320	PREDICTED: Drosophila miranda tau-tubulin kinase homolog Asator (LOC108164468), transcript variant X4, mRNA
XM_033394391.1	Drosophila miranda	LOC108164416	4960	29	50	58.0	250	2795	PREDICTED: Drosophila miranda probable cation-transporting ATPase 13A3 (LOC108164416), transcript variant X3, mRNA
XM_017300181.2	Drosophila miranda	LOC108164456	3143	29	50	58.0	600	2935	PREDICTED: Drosophila miranda calcium/calmodulin-dependent protein kinase type II alpha chain (LOC108164456), transcript variant X7, mRNA
XM_017300177.2	Drosophila miranda	LOC108164456	3203	29	50	58.0	600	2995	PREDICTED: Drosophila miranda calcium/calmodulin-dependent protein kinase type II alpha chain (LOC108164456), transcript variant X4, mRNA
XM_017300076.2	Drosophila miranda	LOC108164409	6417	29	50	58.0	1175	2980	PREDICTED: Drosophila miranda protein Gawky (LOC108164409), transcript variant X4, mRNA
XM_017300075.2	Drosophila miranda	LOC108164409	6426	29	50	58.0	1175	2980	PREDICTED: Drosophila miranda protein Gawky (LOC108164409), transcript variant X1, mRNA
XM_033394298.1	Drosophila miranda	LOC108164473	3808	29	50	58.0	200	3695	PREDICTED: Drosophila miranda RNA-binding protein MEX3B (LOC108164473), transcript variant X4, mRNA
XM_033394296.1	Drosophila miranda	LOC108164473	4289	29	50	58.0	200	3670	PREDICTED: Drosophila miranda RNA-binding protein MEX3B (LOC108164473), transcript variant X2, mRNA
XM_033394282.1	Drosophila miranda	LOC108164478	5579	29	50	58.0	650	2250	PREDICTED: Drosophila miranda rho GTPase-activating protein 6 (LOC108164478), transcript variant X1, mRNA
XM_044011392.1	Drosophila mojavensis	LOC6581162	5836	29	50	58.0	300	130	PREDICTED: Drosophila mojavensis Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 (LOC6581162), transcript variant X2, mRNA
XM_032730737.2	Drosophila mojavensis	LOC6581135	7012	29	50	58.0	1025	3490	PREDICTED: Drosophila mojavensis uncharacterized LOC6581135 (LOC6581135), transcript variant X2, mRNA
XM_032730303.2	Drosophila mojavensis	LOC6581121	3868	29	50	58.0	1175	1830	PREDICTED: Drosophila mojavensis Krueppel-like factor luna (LOC6581121), mRNA
XM_002006804.4	Drosophila mojavensis	LOC6581082	5246	29	50	58.0	1175	2625	PREDICTED: Drosophila mojavensis ecdysone receptor (LOC6581082), transcript variant X5, mRNA
XM_044011366.1	Drosophila mojavensis	LOC6581082	3979	29	50	58.0	1175	460	PREDICTED: Drosophila mojavensis ecdysone receptor (LOC6581082), transcript variant X4, mRNA
XM_032730014.2	Drosophila mojavensis	LOC6581082	4046	29	50	58.0	1175	1425	PREDICTED: Drosophila mojavensis ecdysone receptor (LOC6581082), transcript variant X2, mRNA
XM_044011365.1	Drosophila mojavensis	LOC6581082	4018	29	50	58.0	1175	460	PREDICTED: Drosophila mojavensis ecdysone receptor (LOC6581082), transcript variant X1, mRNA
XM_032730266.2	Drosophila mojavensis	LOC6581138	3760	29	50	58.0	1200	540	PREDICTED: Drosophila mojavensis uncharacterized LOC6581138 (LOC6581138), mRNA
XM_002006857.4	Drosophila mojavensis	LOC6581142	3065	29	50	58.0	900	770	PREDICTED: Drosophila mojavensis sphingomyelin phosphodiesterase (LOC6581142), transcript variant X3, mRNA
XM_032730528.2	Drosophila mojavensis	LOC6580543	5434	29	50	58.0	300	505	PREDICTED: Drosophila mojavensis putative uncharacterized protein DDB_G0291608 (LOC6580543), transcript variant X5, mRNA
XM_015164255.3	Drosophila mojavensis	LOC6580543	4421	29	50	58.0	1200	2440	PREDICTED: Drosophila mojavensis putative uncharacterized protein DDB_G0291608 (LOC6580543), transcript variant X4, mRNA
XM_015164470.3	Drosophila mojavensis	LOC6580884	6273	29	50	58.0	900	2685	PREDICTED: Drosophila mojavensis RNA-binding protein fusilli (LOC6580884), transcript variant X2, mRNA
XM_002006424.4	Drosophila mojavensis	LOC6580638	3621	29	50	58.0	375	3450	PREDICTED: Drosophila mojavensis protein vestigial (LOC6580638), mRNA
