accession	organism	gene_name	length	matches	comparison_length	score_percent	description
XM_002055622.4	Drosophila virilis	Hers	5808	805	3070	26.2215	PREDICTED: Drosophila virilis Histone gene-specific Epigenetic Repressor in late S phase (Hers), transcript variant X4, mRNA
XM_032738438.2	Drosophila grimshawi	LOC6565297	5008	805	3070	26.2215	PREDICTED: Drosophila grimshawi eye-specific diacylglycerol kinase (LOC6565297), transcript variant X3, mRNA
XM_032738436.2	Drosophila grimshawi	LOC6565297	5536	805	3070	26.2215	PREDICTED: Drosophila grimshawi eye-specific diacylglycerol kinase (LOC6565297), transcript variant X1, mRNA
XM_044011392.1	Drosophila mojavensis	LOC6581162	5836	805	3070	26.2215	PREDICTED: Drosophila mojavensis Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 (LOC6581162), transcript variant X2, mRNA
XM_034262749.2	Drosophila albomicans	LOC117577815	4060	805	3070	26.2215	PREDICTED: Drosophila albomicans zinc finger CCCH domain-containing protein 18 (LOC117577815), transcript variant X1, mRNA
XM_034263765.2	Drosophila albomicans	LOC117578312	5009	805	3070	26.2215	PREDICTED: Drosophila albomicans uncharacterized LOC117578312 (LOC117578312), mRNA
XM_026983407.1	Drosophila erecta	LOC6555877	4031	805	3070	26.2215	PREDICTED: Drosophila erecta protein pangolin, isoforms A/H/I/S (LOC6555877), transcript variant X11, mRNA
XM_039370074.2	Drosophila yakuba	LOC6524546	4880	805	3070	26.2215	PREDICTED: Drosophila yakuba ELAV-like protein 2 (LOC6524546), transcript variant X3, mRNA
XM_034284552.1	Drosophila guanche	LOC117591332	3532	805	3070	26.2215	PREDICTED: Drosophila guanche protein Wnt-5 (LOC117591332), transcript variant X1, mRNA
XM_026994568.1	Drosophila persimilis	LOC6594655	4437	805	3070	26.2215	PREDICTED: Drosophila persimilis neuroligin 4-like (LOC6594655), mRNA
XM_026994470.1	Drosophila persimilis	LOC6594251	6358	805	3070	26.2215	PREDICTED: Drosophila persimilis regulating synaptic membrane exocytosis protein 2 (LOC6594251), transcript variant X2, mRNA
XM_026994469.1	Drosophila persimilis	LOC6594251	6383	805	3070	26.2215	PREDICTED: Drosophila persimilis regulating synaptic membrane exocytosis protein 2 (LOC6594251), transcript variant X1, mRNA
NM_001382013.1	Drosophila melanogaster	br	3375	804	3070	26.1889	Drosophila melanogaster broad (br), transcript variant R, mRNA
NM_166893.3	Drosophila melanogaster	br	3375	804	3070	26.1889	Drosophila melanogaster broad (br), transcript variant J, mRNA
XM_044923796.1	Drosophila simulans	LOC6725850	3300	804	3070	26.1889	PREDICTED: Drosophila simulans inositol-trisphosphate 3-kinase B (LOC6725850), transcript variant X1, mRNA
XM_016180833.3	Drosophila simulans	LOC6740063	6578	804	3070	26.1889	PREDICTED: Drosophila simulans protein sprint (LOC6740063), transcript variant X2, mRNA
XM_032726661.1	Drosophila sechellia	LOC6615884	4871	804	3070	26.1889	PREDICTED: Drosophila sechellia protein suppressor of sable (LOC6615884), transcript variant X1, mRNA
XM_044717596.1	Drosophila ananassae	LOC6501889	3717	804	3070	26.1889	PREDICTED: Drosophila ananassae RNA cytidine acetyltransferase (LOC6501889), transcript variant X2, mRNA
XM_023179796.2	Drosophila willistoni	LOC6649444	7619	804	3070	26.1889	PREDICTED: Drosophila willistoni protein crumbs (LOC6649444), transcript variant X1, mRNA
XM_023179847.2	Drosophila willistoni	LOC6649513	3605	804	3070	26.1889	PREDICTED: Drosophila willistoni oxysterol-binding protein-related protein 8 (LOC6649513), transcript variant X1, mRNA
XM_002055331.4	Drosophila virilis	Mnt	6131	804	3070	26.1889	PREDICTED: Drosophila virilis Mnt (Mnt), transcript variant X1, mRNA
XM_032738346.2	Drosophila grimshawi	LOC6565045	3252	804	3070	26.1889	PREDICTED: Drosophila grimshawi glutamine-dependent NAD(+) synthetase (LOC6565045), transcript variant X3, mRNA
XM_017300093.2	Drosophila miranda	LOC108164416	6103	804	3070	26.1889	PREDICTED: Drosophila miranda probable cation-transporting ATPase 13A3 (LOC108164416), transcript variant X1, mRNA
XM_017300076.2	Drosophila miranda	LOC108164409	6417	804	3070	26.1889	PREDICTED: Drosophila miranda protein Gawky (LOC108164409), transcript variant X4, mRNA
XM_017300075.2	Drosophila miranda	LOC108164409	6426	804	3070	26.1889	PREDICTED: Drosophila miranda protein Gawky (LOC108164409), transcript variant X1, mRNA
XM_017299990.2	Drosophila miranda	LOC108164387	5713	804	3070	26.1889	PREDICTED: Drosophila miranda putative dual specificity tyrosine-phosphorylation-regulated kinase 3 homolog (LOC108164387), transcript variant X8, mRNA
XM_032730322.2	Drosophila mojavensis	LOC6581042	5643	804	3070	26.1889	PREDICTED: Drosophila mojavensis 7SK snRNA methylphosphate capping enzyme bin3 (LOC6581042), transcript variant X5, mRNA
XM_001982722.3	Drosophila erecta	LOC6555881	3195	804	3070	26.1889	PREDICTED: Drosophila erecta sodium/potassium-transporting ATPase subunit alpha (LOC6555881), mRNA
XM_034284656.1	Drosophila guanche	LOC117591404	6055	804	3070	26.1889	PREDICTED: Drosophila guanche nuclear pore complex protein Nup153 (LOC117591404), transcript variant X6, mRNA
XM_034284654.1	Drosophila guanche	LOC117591404	6394	804	3070	26.1889	PREDICTED: Drosophila guanche nuclear pore complex protein Nup153 (LOC117591404), transcript variant X4, mRNA
XM_034284308.1	Drosophila guanche	LOC117591181	3263	804	3070	26.1889	PREDICTED: Drosophila guanche tyrosine-protein phosphatase corkscrew (LOC117591181), transcript variant X2, mRNA
XM_020961270.1	Drosophila serrata	LOC110190668	3322	804	3070	26.1889	PREDICTED: Drosophila serrata uncharacterized LOC110190668 (LOC110190668), transcript variant X2, mRNA
XM_030390267.1	Drosophila navojoa	LOC108649667	3048	798	3048	26.1811	PREDICTED: Drosophila navojoa dipeptidyl peptidase 4 (LOC108649667), mRNA
XM_002006857.4	Drosophila mojavensis	LOC6581142	3065	802	3065	26.1664	PREDICTED: Drosophila mojavensis sphingomyelin phosphodiesterase (LOC6581142), transcript variant X3, mRNA
XM_044923788.1	Drosophila simulans	LOC6725659	7387	803	3070	26.1564	PREDICTED: Drosophila simulans Kv channel-interacting protein 4 (LOC6725659), transcript variant X2, mRNA
XM_039297462.2	Drosophila simulans	LOC6726128	3921	803	3070	26.1564	PREDICTED: Drosophila simulans high mobility group protein DSP1 (LOC6726128), transcript variant X7, mRNA
XM_032452267.2	Drosophila ananassae	LOC6504504	7325	803	3070	26.1564	PREDICTED: Drosophila ananassae non-canonical poly(A) RNA polymerase protein Trf4-1 (LOC6504504), transcript variant X5, mRNA
XM_044717533.1	Drosophila ananassae	LOC6505244	3305	803	3070	26.1564	PREDICTED: Drosophila ananassae cytoplasmic dynein 1 light intermediate chain 1 (LOC6505244), transcript variant X6, mRNA
XM_033385620.1	Drosophila pseudoobscura	X11L	5675	803	3070	26.1564	PREDICTED: Drosophila pseudoobscura X11L (X11L), transcript variant X3, mRNA
XM_033385456.1	Drosophila pseudoobscura	nAChRalpha7	5643	803	3070	26.1564	PREDICTED: Drosophila pseudoobscura nicotinic Acetylcholine Receptor alpha7 (nAChRalpha7), transcript variant X5, mRNA
XM_002072186.4	Drosophila willistoni	LOC6649513	3131	803	3070	26.1564	PREDICTED: Drosophila willistoni oxysterol-binding protein-related protein 8 (LOC6649513), transcript variant X4, mRNA
XM_023179668.2	Drosophila willistoni	LOC6649781	3085	803	3070	26.1564	PREDICTED: Drosophila willistoni glutamate receptor ionotropic, kainate 2 (LOC6649781), transcript variant X1, mRNA
XM_002072081.4	Drosophila willistoni	LOC6649795	4087	803	3070	26.1564	PREDICTED: Drosophila willistoni ubiquitin carboxyl-terminal hydrolase 1 (LOC6649795), transcript variant X1, mRNA
XM_032439587.2	Drosophila virilis	sdt	4993	803	3070	26.1564	PREDICTED: Drosophila virilis stardust (sdt), transcript variant X15, mRNA
XM_033394265.1	Drosophila miranda	LOC108164443	4799	803	3070	26.1564	PREDICTED: Drosophila miranda GIGYF family protein CG11148 (LOC108164443), transcript variant X3, mRNA
XM_017300147.2	Drosophila miranda	LOC108164443	5448	803	3070	26.1564	PREDICTED: Drosophila miranda GIGYF family protein CG11148 (LOC108164443), transcript variant X1, mRNA
XM_044011383.1	Drosophila mojavensis	LOC6581155	4603	803	3070	26.1564	PREDICTED: Drosophila mojavensis serine/threonine-protein kinase 10 (LOC6581155), transcript variant X10, mRNA
XM_044011380.1	Drosophila mojavensis	LOC6581155	5355	803	3070	26.1564	PREDICTED: Drosophila mojavensis serine/threonine-protein kinase 10 (LOC6581155), transcript variant X6, mRNA
XM_015164630.3	Drosophila mojavensis	LOC6581155	5382	803	3070	26.1564	PREDICTED: Drosophila mojavensis serine/threonine-protein kinase 10 (LOC6581155), transcript variant X5, mRNA
XM_044011376.1	Drosophila mojavensis	LOC6581155	5860	803	3070	26.1564	PREDICTED: Drosophila mojavensis serine/threonine-protein kinase 10 (LOC6581155), transcript variant X1, mRNA
XM_002006892.4	Drosophila mojavensis	LOC6581183	4116	803	3070	26.1564	PREDICTED: Drosophila mojavensis EH domain-binding protein 1 (LOC6581183), transcript variant X8, mRNA
XM_034256229.2	Drosophila albomicans	LOC117573213	3196	803	3070	26.1564	PREDICTED: Drosophila albomicans scoloptoxin SSD14 (LOC117573213), transcript variant X1, mRNA
XM_034244161.2	Drosophila albomicans	LOC117565164	4966	803	3070	26.1564	PREDICTED: Drosophila albomicans optomotor-blind protein (LOC117565164), transcript variant X2, mRNA
XM_052008826.1	Drosophila albomicans	LOC117570438	4268	803	3070	26.1564	PREDICTED: Drosophila albomicans putative uncharacterized protein DDB_G0291608 (LOC117570438), transcript variant X4, mRNA
XM_039377851.2	Drosophila yakuba	LOC6524130	7067	803	3070	26.1564	PREDICTED: Drosophila yakuba proton channel OtopLc (LOC6524130), transcript variant X5, mRNA
XM_002099665.4	Drosophila yakuba	LOC6523826	5031	803	3070	26.1564	PREDICTED: Drosophila yakuba histone-lysine N-methyltransferase Suv4-20 (LOC6523826), transcript variant X1, mRNA
XM_034284524.1	Drosophila guanche	LOC117591316	3531	803	3070	26.1564	PREDICTED: Drosophila guanche REST corepressor (LOC117591316), transcript variant X1, mRNA
XM_020961070.1	Drosophila serrata	LOC110190525	4640	803	3070	26.1564	PREDICTED: Drosophila serrata F-BAR and double SH3 domains protein 2 (LOC110190525), transcript variant X9, mRNA
XM_030390361.1	Drosophila navojoa	LOC115565283	6009	803	3070	26.1564	PREDICTED: Drosophila navojoa E3 ubiquitin-protein ligase Ufd4 (LOC115565283), partial mRNA
XM_026994533.1	Drosophila persimilis	LOC6594085	3510	803	3070	26.1564	PREDICTED: Drosophila persimilis fibroblast growth factor receptor homolog 1 (LOC6594085), transcript variant X1, mRNA
XM_026993955.1	Drosophila persimilis	LOC6600990	4407	803	3070	26.1564	PREDICTED: Drosophila persimilis zinc finger and BTB domain-containing protein 49 (LOC6600990), transcript variant X1, mRNA
XM_002027868.2	Drosophila persimilis	LOC6602869	3873	803	3070	26.1564	PREDICTED: Drosophila persimilis nardilysin (LOC6602869), mRNA
XM_002072098.4	Drosophila willistoni	LOC6649476	3029	792	3029	26.1472	PREDICTED: Drosophila willistoni uncharacterized LOC6649476 (LOC6649476), mRNA
NM_133036.3	Drosophila melanogaster	CG15373	3505	802	3070	26.1238	Drosophila melanogaster uncharacterized protein, transcript variant D (CG15373), mRNA
XM_016174018.3	Drosophila simulans	LOC6726128	4460	802	3070	26.1238	PREDICTED: Drosophila simulans high mobility group protein DSP1 (LOC6726128), transcript variant X3, mRNA
XM_001352889.4	Drosophila pseudoobscura	Mkp3	3090	802	3070	26.1238	PREDICTED: Drosophila pseudoobscura Mitogen-activated protein kinase phosphatase 3 (Mkp3), mRNA
XM_017300169.2	Drosophila miranda	LOC108164451	4805	802	3070	26.1238	PREDICTED: Drosophila miranda uncharacterized LOC108164451 (LOC108164451), transcript variant X2, mRNA
XM_033394320.1	Drosophila miranda	LOC108164386	5373	802	3070	26.1238	PREDICTED: Drosophila miranda calcium-dependent secretion activator (LOC108164386), transcript variant X10, mRNA
XM_033394319.1	Drosophila miranda	LOC108164386	5418	802	3070	26.1238	PREDICTED: Drosophila miranda calcium-dependent secretion activator (LOC108164386), transcript variant X9, mRNA
XM_034254238.2	Drosophila albomicans	LOC117571844	3359	802	3070	26.1238	PREDICTED: Drosophila albomicans uncharacterized protein CG3556 (LOC117571844), transcript variant X1, mRNA
XM_034244177.2	Drosophila albomicans	LOC117565164	4960	802	3070	26.1238	PREDICTED: Drosophila albomicans optomotor-blind protein (LOC117565164), transcript variant X4, mRNA
XM_034252132.2	Drosophila albomicans	LOC117570438	5806	802	3070	26.1238	PREDICTED: Drosophila albomicans putative uncharacterized protein DDB_G0291608 (LOC117570438), transcript variant X2, mRNA
XM_034257817.2	Drosophila albomicans	LOC117574120	3745	802	3070	26.1238	PREDICTED: Drosophila albomicans tyrosine-protein phosphatase non-receptor type 9 (LOC117574120), transcript variant X1, mRNA
XM_026983451.1	Drosophila erecta	LOC6555827	3605	802	3070	26.1238	PREDICTED: Drosophila erecta calcium/calmodulin-dependent protein kinase type II alpha chain (LOC6555827), transcript variant X13, mRNA
XM_026983351.1	Drosophila erecta	LOC6555815	5190	802	3070	26.1238	PREDICTED: Drosophila erecta host cell factor (LOC6555815), transcript variant X4, mRNA
XM_034284777.1	Drosophila guanche	LOC117591489	3577	802	3070	26.1238	PREDICTED: Drosophila guanche sorting nexin-25 (LOC117591489), mRNA
XM_034284427.1	Drosophila guanche	LOC117591248	3674	802	3070	26.1238	PREDICTED: Drosophila guanche rho GTPase-activating protein 20 (LOC117591248), transcript variant X1, mRNA
XM_020961139.1	Drosophila serrata	LOC110190566	3443	802	3070	26.1238	PREDICTED: Drosophila serrata 85/88 kDa calcium-independent phospholipase A2 (LOC110190566), transcript variant X1, mRNA
XM_020961068.1	Drosophila serrata	LOC110190525	4742	802	3070	26.1238	PREDICTED: Drosophila serrata F-BAR and double SH3 domains protein 2 (LOC110190525), transcript variant X7, mRNA
XM_044923792.1	Drosophila simulans	LOC6740148	3013	787	3013	26.1201	PREDICTED: Drosophila simulans protein scalloped (LOC6740148), transcript variant X5, mRNA
NM_001382096.1	Drosophila melanogaster	Sarm	3963	801	3070	26.0912	Drosophila melanogaster sterile alpha and armadillo motif, transcript variant L (Sarm), mRNA
XM_032726809.1	Drosophila sechellia	LOC6618651	5944	801	3070	26.0912	PREDICTED: Drosophila sechellia histone deacetylase 4 (LOC6618651), transcript variant X7, mRNA
XM_032726631.1	Drosophila sechellia	LOC6620184	3973	801	3070	26.0912	PREDICTED: Drosophila sechellia uncharacterized LOC6620184 (LOC6620184), mRNA
XM_044717579.1	Drosophila ananassae	LOC6501841	7015	801	3070	26.0912	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X14, mRNA
XM_002133350.3	Drosophila pseudoobscura	LOC6901848	5501	801	3070	26.0912	PREDICTED: Drosophila pseudoobscura AF4/FMR2 family member 4 (LOC6901848), transcript variant X1, mRNA
XM_002072394.4	Drosophila willistoni	LOC6649446	3772	801	3070	26.0912	PREDICTED: Drosophila willistoni uncharacterized LOC6649446 (LOC6649446), mRNA
XM_002072392.4	Drosophila willistoni	LOC6649444	7424	801	3070	26.0912	PREDICTED: Drosophila willistoni protein crumbs (LOC6649444), transcript variant X3, mRNA
XM_032738437.2	Drosophila grimshawi	LOC6565297	5460	801	3070	26.0912	PREDICTED: Drosophila grimshawi eye-specific diacylglycerol kinase (LOC6565297), transcript variant X2, mRNA
XM_043216279.1	Drosophila grimshawi	LOC6565668	3331	801	3070	26.0912	PREDICTED: Drosophila grimshawi uncharacterized LOC6565668 (LOC6565668), mRNA
XM_033394324.1	Drosophila miranda	LOC108164387	3824	801	3070	26.0912	PREDICTED: Drosophila miranda putative dual specificity tyrosine-phosphorylation-regulated kinase 3 homolog (LOC108164387), transcript variant X4, mRNA
XM_032730005.2	Drosophila mojavensis	LOC6581083	3286	801	3070	26.0912	PREDICTED: Drosophila mojavensis serrate RNA effector molecule homolog (LOC6581083), transcript variant X2, mRNA
XM_026983443.1	Drosophila erecta	LOC6555827	3679	801	3070	26.0912	PREDICTED: Drosophila erecta calcium/calmodulin-dependent protein kinase type II alpha chain (LOC6555827), transcript variant X4, mRNA
XM_026983386.1	Drosophila erecta	LOC6555831	6642	801	3070	26.0912	PREDICTED: Drosophila erecta plexin-A2 (LOC6555831), transcript variant X5, mRNA
XM_034284835.1	Drosophila guanche	LOC117591541	6748	801	3070	26.0912	PREDICTED: Drosophila guanche myosin-VIIa (LOC117591541), transcript variant X1, mRNA
XM_020961137.1	Drosophila serrata	LOC110190563	6170	801	3070	26.0912	PREDICTED: Drosophila serrata mediator of RNA polymerase II transcription subunit 15 (LOC110190563), transcript variant X8, mRNA
XM_030390149.1	Drosophila navojoa	LOC115565146	3885	801	3070	26.0912	PREDICTED: Drosophila navojoa E3 ubiquitin-protein ligase TRIM33 (LOC115565146), transcript variant X1, mRNA
XM_001992566.3	Drosophila grimshawi	LOC6565980	3018	787	3018	26.0769	PREDICTED: Drosophila grimshawi uncharacterized LOC6565980 (LOC6565980), mRNA
XM_023179828.2	Drosophila willistoni	LOC6649523	3026	789	3026	26.074	PREDICTED: Drosophila willistoni putative thiamine transporter SLC35F3 (LOC6649523), transcript variant X7, mRNA
XM_020961309.1	Drosophila serrata	LOC110190697	3039	792	3039	26.0612	PREDICTED: Drosophila serrata myotubularin-related protein 9 (LOC110190697), mRNA
XM_039298159.2	Drosophila simulans	LOC6740388	4732	800	3070	26.0586	PREDICTED: Drosophila simulans poly(A) RNA polymerase gld-2 homolog B (LOC6740388), transcript variant X1, mRNA
XM_039297344.2	Drosophila simulans	LOC6740148	3150	800	3070	26.0586	PREDICTED: Drosophila simulans protein scalloped (LOC6740148), transcript variant X2, mRNA
XM_039297979.2	Drosophila simulans	LOC6725867	7630	800	3070	26.0586	PREDICTED: Drosophila simulans probable histone-lysine N-methyltransferase CG1716 (LOC6725867), mRNA
XM_032726719.1	Drosophila sechellia	LOC6616227	5614	800	3070	26.0586	PREDICTED: Drosophila sechellia cAMP-specific 3',5'-cyclic phosphodiesterase (LOC6616227), transcript variant X6, mRNA
XM_014904115.3	Drosophila ananassae	LOC6501841	4433	800	3070	26.0586	PREDICTED: Drosophila ananassae disks large 1 tumor suppressor protein (LOC6501841), transcript variant X18, mRNA
XM_033385600.1	Drosophila pseudoobscura	LOC117183205	3168	800	3070	26.0586	PREDICTED: Drosophila pseudoobscura bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66-like (LOC117183205), mRNA
XM_023179634.2	Drosophila willistoni	LOC6649629	4461	800	3070	26.0586	PREDICTED: Drosophila willistoni protein timeless homolog (LOC6649629), mRNA
XM_023179739.2	Drosophila willistoni	LOC6649418	3171	800	3070	26.0586	PREDICTED: Drosophila willistoni dopamine receptor 2 (LOC6649418), mRNA
XM_015177048.3	Drosophila willistoni	LOC6649704	3293	800	3070	26.0586	PREDICTED: Drosophila willistoni bestrophin-2 (LOC6649704), transcript variant X1, mRNA
XM_047009203.1	Drosophila willistoni	LOC6649546	3162	800	3070	26.0586	PREDICTED: Drosophila willistoni guanylate cyclase soluble subunit beta-1 (LOC6649546), transcript variant X2, mRNA
XM_070206620.1	Drosophila virilis	mei-38	3556	800	3070	26.0586	PREDICTED: Drosophila virilis meiotic 38 (mei-38), transcript variant X4, mRNA
XM_032439584.2	Drosophila virilis	sdt	5791	800	3070	26.0586	PREDICTED: Drosophila virilis stardust (sdt), transcript variant X12, mRNA
XM_032439578.2	Drosophila virilis	sdt	5833	800	3070	26.0586	PREDICTED: Drosophila virilis stardust (sdt), transcript variant X5, mRNA
XM_015170149.3	Drosophila virilis	raskol	7734	800	3070	26.0586	PREDICTED: Drosophila virilis Ras GTPase-activating protein raskol (raskol), transcript variant X2, mRNA
XM_032440764.2	Drosophila virilis	raskol	7749	800	3070	26.0586	PREDICTED: Drosophila virilis Ras GTPase-activating protein raskol (raskol), transcript variant X1, mRNA
XM_032439795.2	Drosophila virilis	LOC116652047	3270	800	3070	26.0586	PREDICTED: Drosophila virilis uncharacterized protein (LOC116652047), transcript variant X1, mRNA
XM_015171183.3	Drosophila virilis	Mnt	6035	800	3070	26.0586	PREDICTED: Drosophila virilis Mnt (Mnt), transcript variant X2, mRNA
XM_032738493.2	Drosophila grimshawi	LOC6564676	3159	800	3070	26.0586	PREDICTED: Drosophila grimshawi protein suppressor of white apricot (LOC6564676), transcript variant X2, mRNA
XM_043216282.1	Drosophila grimshawi	LOC6565661	3798	800	3070	26.0586	PREDICTED: Drosophila grimshawi cAMP-specific 3',5'-cyclic phosphodiesterase (LOC6565661), transcript variant X2, mRNA
XM_015164629.3	Drosophila mojavensis	LOC6581153	4301	800	3070	26.0586	PREDICTED: Drosophila mojavensis muscarinic acetylcholine receptor DM1 (LOC6581153), transcript variant X1, mRNA
XM_034252797.2	Drosophila albomicans	LOC117570887	4755	800	3070	26.0586	PREDICTED: Drosophila albomicans uncharacterized LOC117570887 (LOC117570887), transcript variant X2, mRNA
XM_052001882.1	Drosophila albomicans	LOC117578212	5809	800	3070	26.0586	PREDICTED: Drosophila albomicans ras GTPase-activating protein raskol (LOC117578212), transcript variant X2, mRNA
XM_001982654.3	Drosophila erecta	LOC6555888	3766	800	3070	26.0586	PREDICTED: Drosophila erecta inhibin beta chain (LOC6555888), transcript variant X3, mRNA
XM_015189864.3	Drosophila yakuba	LOC6523826	3354	800	3070	26.0586	PREDICTED: Drosophila yakuba histone-lysine N-methyltransferase Suv4-20 (LOC6523826), transcript variant X4, mRNA
XM_034284836.1	Drosophila guanche	LOC117591541	6746	800	3070	26.0586	PREDICTED: Drosophila guanche myosin-VIIa (LOC117591541), transcript variant X2, mRNA
XM_034284655.1	Drosophila guanche	LOC117591404	6255	800	3070	26.0586	PREDICTED: Drosophila guanche nuclear pore complex protein Nup153 (LOC117591404), transcript variant X5, mRNA
XM_034284575.1	Drosophila guanche	LOC117591349	3736	800	3070	26.0586	PREDICTED: Drosophila guanche uncharacterized LOC117591349 (LOC117591349), transcript variant X1, mRNA
XM_034284372.1	Drosophila guanche	LOC117591217	3239	800	3070	26.0586	PREDICTED: Drosophila guanche low-density lipoprotein receptor (LOC117591217), transcript variant X9, mRNA
XM_020961268.1	Drosophila serrata	LOC110190668	3325	800	3070	26.0586	PREDICTED: Drosophila serrata uncharacterized LOC110190668 (LOC110190668), transcript variant X1, mRNA
XM_039297322.2	Drosophila simulans	LOC6725561	5482	799	3070	26.0261	PREDICTED: Drosophila simulans tyrosine-protein phosphatase non-receptor type 9 (LOC6725561), transcript variant X2, mRNA
XM_016172632.3	Drosophila simulans	LOC6725841	4397	799	3070	26.0261	PREDICTED: Drosophila simulans integrin alpha-PS1 (LOC6725841), transcript variant X2, mRNA
XM_032726816.1	Drosophila sechellia	LOC6617989	5374	799	3070	26.0261	PREDICTED: Drosophila sechellia integrin alpha-PS2 (LOC6617989), transcript variant X2, mRNA
XM_032726805.1	Drosophila sechellia	LOC6618651	6737	799	3070	26.0261	PREDICTED: Drosophila sechellia histone deacetylase 4 (LOC6618651), transcript variant X3, mRNA
XM_023179638.2	Drosophila willistoni	LOC6649834	3184	799	3070	26.0261	PREDICTED: Drosophila willistoni RUN and FYVE domain-containing protein 2 (LOC6649834), transcript variant X3, mRNA
XM_002071921.4	Drosophila willistoni	LOC6649817	5613	799	3070	26.0261	PREDICTED: Drosophila willistoni zinc finger MYM-type protein 4 (LOC6649817), transcript variant X1, mRNA
XM_043216318.1	Drosophila grimshawi	LOC6564883	3602	799	3070	26.0261	PREDICTED: Drosophila grimshawi uncharacterized LOC6564883 (LOC6564883), mRNA
XM_001992195.3	Drosophila grimshawi	LOC6565901	3949	799	3070	26.0261	PREDICTED: Drosophila grimshawi Alstrom syndrome protein 1 homolog a (LOC6565901), mRNA
XM_017300211.2	Drosophila miranda	LOC108164467	3407	799	3070	26.0261	PREDICTED: Drosophila miranda transcription factor Sox-5 (LOC108164467), transcript variant X3, mRNA
XM_033394282.1	Drosophila miranda	LOC108164478	5579	799	3070	26.0261	PREDICTED: Drosophila miranda rho GTPase-activating protein 6 (LOC108164478), transcript variant X1, mRNA
XM_002006865.4	Drosophila mojavensis	LOC6581153	4249	799	3070	26.0261	PREDICTED: Drosophila mojavensis muscarinic acetylcholine receptor DM1 (LOC6581153), transcript variant X3, mRNA
XM_034253327.2	Drosophila albomicans	LOC117563205	4879	799	3070	26.0261	PREDICTED: Drosophila albomicans histone deacetylase 6 (LOC117563205), transcript variant X2, mRNA
XM_034256238.2	Drosophila albomicans	LOC117573213	3090	799	3070	26.0261	PREDICTED: Drosophila albomicans scoloptoxin SSD14 (LOC117573213), transcript variant X2, mRNA
XM_002100511.4	Drosophila yakuba	LOC6524703	3909	799	3070	26.0261	PREDICTED: Drosophila yakuba pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (LOC6524703), mRNA
XM_020961069.1	Drosophila serrata	LOC110190525	4715	799	3070	26.0261	PREDICTED: Drosophila serrata F-BAR and double SH3 domains protein 2 (LOC110190525), transcript variant X8, mRNA
XM_030390278.1	Drosophila navojoa	LOC108657663	4682	799	3070	26.0261	PREDICTED: Drosophila navojoa ATP-binding cassette sub-family A member 2 (LOC108657663), mRNA
XM_002072329.4	Drosophila willistoni	LOC6649744	3069	798	3069	26.002	PREDICTED: Drosophila willistoni rho GTPase-activating protein 92B (LOC6649744), mRNA
NM_001382183.1	Drosophila melanogaster	chif	6575	798	3070	25.9935	Drosophila melanogaster chiffon (chif), transcript variant E, mRNA
XM_039298162.2	Drosophila simulans	LOC6725097	4816	798	3070	25.9935	PREDICTED: Drosophila simulans optomotor-blind protein (LOC6725097), transcript variant X2, mRNA
XM_016173902.3	Drosophila simulans	LOC6725945	4984	798	3070	25.9935	PREDICTED: Drosophila simulans zwei Ig domain protein zig-8 (LOC6725945), transcript variant X2, mRNA
XM_032726753.1	Drosophila sechellia	LOC6615231	3360	798	3070	25.9935	PREDICTED: Drosophila sechellia uncharacterized LOC6615231 (LOC6615231), mRNA
XM_033385427.1	Drosophila pseudoobscura	nwk	4235	798	3070	25.9935	PREDICTED: Drosophila pseudoobscura nervous wreck (nwk), transcript variant X4, mRNA
XM_002072343.4	Drosophila willistoni	LOC6649410	3693	798	3070	25.9935	PREDICTED: Drosophila willistoni serine/threonine-protein kinase/endoribonuclease IRE1 (LOC6649410), mRNA
XM_023179666.2	Drosophila willistoni	LOC6649598	3236	798	3070	25.9935	PREDICTED: Drosophila willistoni uncharacterized LOC6649598 (LOC6649598), transcript variant X3, mRNA
XM_032439579.2	Drosophila virilis	sdt	6182	798	3070	25.9935	PREDICTED: Drosophila virilis stardust (sdt), transcript variant X7, mRNA
XM_070211380.1	Drosophila virilis	LOC6631824	7664	798	3070	25.9935	PREDICTED: Drosophila virilis chaoptin (LOC6631824), transcript variant X8, mRNA
XM_032730395.2	Drosophila mojavensis	LOC6580736	3369	798	3070	25.9935	PREDICTED: Drosophila mojavensis mediator of RNA polymerase II transcription subunit 15 (LOC6580736), transcript variant X2, mRNA
XM_052001920.1	Drosophila albomicans	LOC117577544	5350	798	3070	25.9935	PREDICTED: Drosophila albomicans homeobox protein 2 (LOC117577544), transcript variant X9, mRNA
XM_034262832.2	Drosophila albomicans	LOC117577874	6860	798	3070	25.9935	PREDICTED: Drosophila albomicans high affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A (LOC117577874), mRNA
XM_026983627.1	Drosophila erecta	LOC6548880	4324	798	3070	25.9935	PREDICTED: Drosophila erecta uncharacterized LOC6548880 (LOC6548880), transcript variant X8, mRNA
